Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/05-Sep-2017-16_52.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            682805300
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/05-Sep-2017-16_52.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
1550000	-15.289934	889	1	4	'Z Z 0 Z Z 0 0 0 0 0 0 0 	0.000000	0.000000	16.723672	0.000000	0.000000	16.723672	16.723672	16.723672	16.723672	16.723672	16.723672	16.723672	0.000000	0.000000	1.000000	0.000000	
1600000	-13.101710	226	1	4	'Z 0 0 0 0 Z 0 0 0 0 Z Z 	0.000000	41.179090	41.179090	41.179090	41.179090	0.000000	41.179090	41.179090	41.179090	41.179090	0.000000	0.000000	0.000143	0.000011	0.999846	0.000000	
1650000	-12.777242	365	1	5	'Z 0 0 Z Z 0 0 0 0 Z Z 0 	0.000000	46.732067	46.732067	0.000000	0.000000	46.732067	46.732067	46.732067	46.732067	0.000000	0.000000	46.732067	0.000342	0.000000	0.993940	0.005717	
1700000	-14.114961	25	1	4	'Z 0 Z Z 0 0 0 0 0 Z 0 0 	0.000000	40.746388	0.000000	0.000000	40.746388	40.746388	40.746388	40.746388	40.746388	0.000000	40.746388	40.746388	0.000019	0.000032	0.999181	0.000768	
1750000	-15.764050	525	1	6	'Z Z 0 0 0 Z 0 0 0 Z Z Z 	0.000000	0.000000	15.712857	15.712857	15.712857	0.000000	15.712857	15.712857	15.712857	0.000000	0.000000	0.000000	0.000000	0.000003	0.999997	0.000000	
1800000	-15.238892	732	1	4	'Z 0 Z Z Z 0 0 0 0 0 0 0 	0.000000	19.244465	0.000000	0.000000	0.000000	19.244465	19.244465	19.244465	19.244465	19.244465	19.244465	19.244465	0.000010	0.000000	0.998855	0.001134	
1850000	-14.329068	263	1	5	'0 0 0 Z Z Z 0 0 0 0 Z Z 	21.629245	21.629245	21.629245	0.000000	0.000000	0.000000	21.629245	21.629245	21.629245	21.629245	0.000000	0.000000	0.000037	0.000000	0.999963	0.000000	
1900000	-13.787185	172	1	2	'0 0 0 0 0 0 0 0 0 Z Z 0 	31.704772	31.704772	31.704772	31.704772	31.704772	31.704772	31.704772	31.704772	31.704772	0.000000	0.000000	31.704772	0.000038	0.000018	0.999554	0.000390	
1950000	-13.653951	926	1	3	'Z 0 0 0 0 0 0 0 0 0 Z Z 	0.000000	42.050199	42.050199	42.050199	42.050199	42.050199	42.050199	42.050199	42.050199	42.050199	0.000000	0.000000	0.000040	0.000018	0.999942	0.000000	
2000000	-13.842385	693	1	5	'Z Z Z 0 0 0 0 0 0 Z 0 Z 	0.000000	0.000000	0.000000	43.436143	43.436143	43.436143	43.436143	43.436143	43.436143	0.000000	43.436143	0.000000	0.000000	0.000027	0.999973	0.000000	
2050000	-16.608334	61	1	5	'Z 0 Z Z Z Z 0 0 0 0 0 0 	0.000000	14.326192	0.000000	0.000000	0.000000	0.000000	14.326192	14.326192	14.326192	14.326192	14.326192	14.326192	0.000000	0.000000	0.999999	0.000000	
2100000	-13.363466	726	1	4	'0 Z Z 0 Z Z 0 0 0 0 0 0 	38.909606	0.000000	0.000000	38.909606	0.000000	0.000000	38.909606	38.909606	38.909606	38.909606	38.909606	38.909606	0.000000	0.000000	0.999958	0.000042	
2150000	-16.105565	283	1	2	'Z 0 0 Z 0 0 0 0 0 0 0 0 	0.000000	17.071448	17.071448	0.000000	17.071448	17.071448	17.071448	17.071448	17.071448	17.071448	17.071448	17.071448	0.000024	0.000012	0.998828	0.001136	
2200000	-15.609746	958	1	3	'Z 0 0 0 0 0 0 0 0 Z 0 Z 	0.000000	24.800166	24.800166	24.800166	24.800166	24.800166	24.800166	24.800166	24.800166	0.000000	24.800166	0.000000	0.000022	0.000006	0.999972	0.000000	
2250000	-14.897962	459	1	1	'0 0 0 Z 0 0 0 0 0 0 0 0 	31.988994	31.988994	31.988994	0.000000	31.988994	31.988994	31.988994	31.988994	31.988994	31.988994	31.988994	31.988994	0.000015	0.000009	0.999439	0.000538	
2300000	-13.606322	354	1	6	'Z Z Z Z Z 0 0 0 0 0 Z 0 	0.000000	0.000000	0.000000	0.000000	0.000000	43.736033	43.736033	43.736033	43.736033	43.736033	0.000000	43.736033	0.000000	0.000000	0.999979	0.000021	
2350000	-14.345820	676	1	2	'0 Z Z 0 0 0 0 0 0 0 0 0 	36.379691	0.000000	0.000000	36.379691	36.379691	36.379691	36.379691	36.379691	36.379691	36.379691	36.379691	36.379691	0.000000	0.000019	0.999268	0.000713	
2400000	-14.038308	643	1	3	'Z 0 0 0 0 0 0 0 0 0 Z Z 	0.000000	36.397777	36.397777	36.397777	36.397777	36.397777	36.397777	36.397777	36.397777	36.397777	0.000000	0.000000	0.000395	0.000026	0.999579	0.000000	
2450000	-16.772952	738	1	2	'0 Z 0 0 Z 0 0 0 0 0 0 0 	14.806299	0.000000	14.806299	14.806299	0.000000	14.806299	14.806299	14.806299	14.806299	14.806299	14.806299	14.806299	0.000000	0.000000	0.998823	0.001177	
2500000	-17.258376	828	1	4	'0 0 Z 0 0 Z 0 0 0 Z 0 Z 	7.535066	7.535066	0.000000	7.535066	7.535066	0.000000	7.535066	7.535066	7.535066	0.000000	7.535066	0.000000	0.000001	0.000001	0.999998	0.000000	
2550000	-16.010592	236	1	5	'Z Z Z 0 Z Z 0 0 0 0 0 0 	0.000000	0.000000	0.000000	16.738100	0.000000	0.000000	16.738100	16.738100	16.738100	16.738100	16.738100	16.738100	0.000000	0.000000	0.999994	0.000006	
2600000	-15.417904	986	1	6	'Z 0 Z Z 0 0 0 0 0 Z Z Z 	0.000000	21.431830	0.000000	0.000000	21.431830	21.431830	21.431830	21.431830	21.431830	0.000000	0.000000	0.000000	0.000003	0.000008	0.999989	0.000000	
2650000	-13.565167	68	1	4	'0 Z 0 0 0 Z 0 0 0 Z Z 0 	47.736410	0.000000	47.736410	47.736410	47.736410	0.000000	47.736410	47.736410	47.736410	0.000000	0.000000	47.736410	0.000000	0.000000	0.999990	0.000010	
2700000	-14.553123	591	1	4	'0 Z 0 0 Z 0 0 0 0 0 Z Z 	29.277440	0.000000	29.277440	29.277440	0.000000	29.277440	29.277440	29.277440	29.277440	29.277440	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
2750000	-15.047659	427	1	4	'0 Z 0 Z Z Z 0 0 0 0 0 0 	17.270515	0.000000	17.270515	0.000000	0.000000	0.000000	17.270515	17.270515	17.270515	17.270515	17.270515	17.270515	0.000000	0.000000	0.999996	0.000004	
2800000	-14.819139	954	1	4	'Z Z 0 Z 0 Z 0 0 0 0 0 0 	0.000000	0.000000	23.757819	0.000000	23.757819	0.000000	23.757819	23.757819	23.757819	23.757819	23.757819	23.757819	0.000000	0.000009	0.998633	0.001358	
2850000	-16.315334	920	1	2	'0 Z 0 0 Z 0 0 0 0 0 0 0 	13.872292	0.000000	13.872292	13.872292	0.000000	13.872292	13.872292	13.872292	13.872292	13.872292	13.872292	13.872292	0.000000	0.000000	0.999795	0.000205	
2900000	-17.487407	534	1	6	'Z Z Z 0 Z 0 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	8.384457	0.000000	8.384457	8.384457	8.384457	8.384457	0.000000	0.000000	8.384457	0.000000	0.000000	0.999272	0.000728	
2950000	-12.732374	51	1	3	'0 Z Z 0 Z 0 0 0 0 0 0 0 	55.690458	0.000000	0.000000	55.690458	0.000000	55.690458	55.690458	55.690458	55.690458	55.690458	55.690458	55.690458	0.000000	0.000000	0.999516	0.000484	
3000000	-14.564710	65	1	5	'Z 0 0 Z Z Z 0 0 0 0 Z 0 	0.000000	35.468104	35.468104	0.000000	0.000000	0.000000	35.468104	35.468104	35.468104	35.468104	0.000000	35.468104	0.000037	0.000000	0.999093	0.000870	
3050000	-16.153624	952	1	5	'0 0 Z Z Z Z 0 0 0 Z 0 0 	16.393680	16.393680	0.000000	0.000000	0.000000	0.000000	16.393680	16.393680	16.393680	0.000000	16.393680	16.393680	0.000003	0.000000	0.999994	0.000003	
3100000	-14.956310	10	1	5	'0 0 Z Z 0 0 0 0 0 Z Z Z 	26.034118	26.034118	0.000000	0.000000	26.034118	26.034118	26.034118	26.034118	26.034118	0.000000	0.000000	0.000000	0.000025	0.000025	0.999950	0.000000	
3150000	-17.091595	864	1	4	'0 0 0 Z 0 Z 0 0 0 0 Z Z 	10.041934	10.041934	10.041934	0.000000	10.041934	0.000000	10.041934	10.041934	10.041934	10.041934	0.000000	0.000000	0.000002	0.000001	0.999997	0.000000	
3200000	-14.063941	460	1	3	'0 Z 0 0 0 0 0 0 0 Z Z 0 	33.706475	0.000000	33.706475	33.706475	33.706475	33.706475	33.706475	33.706475	33.706475	0.000000	0.000000	33.706475	0.000000	0.000041	0.997396	0.002563	
3250000	-13.410408	446	1	5	'Z 0 0 Z Z 0 0 0 0 Z Z 0 	0.000000	44.500118	44.500118	0.000000	0.000000	44.500118	44.500118	44.500118	44.500118	0.000000	0.000000	44.500118	0.000001	0.000000	0.999998	0.000001	
3300000	-18.676601	177	1	5	'0 0 Z Z 0 0 0 0 Z 0 Z Z 	39.262281	39.262281	0.000000	0.000000	39.262281	39.262281	39.262281	39.262281	0.000000	39.262281	0.000000	0.000000	0.000392	0.006355	0.993144	0.000109	
3350000	-13.899399	463	1	4	'0 0 0 0 Z 0 0 0 0 Z Z Z 	30.255270	30.255270	30.255270	30.255270	0.000000	30.255270	30.255270	30.255270	30.255270	0.000000	0.000000	0.000000	0.000389	0.000000	0.999611	0.000000	
3400000	-14.950720	504	1	7	'Z 0 Z Z Z Z 0 0 0 0 Z Z 	0.000000	20.537283	0.000000	0.000000	0.000000	0.000000	20.537283	20.537283	20.537283	20.537283	0.000000	0.000000	0.000009	0.000000	0.999991	0.000000	
3450000	-15.361824	307	1	1	'0 0 0 0 0 0 0 0 0 0 0 Z 	18.052883	18.052883	18.052883	18.052883	18.052883	18.052883	18.052883	18.052883	18.052883	18.052883	18.052883	0.000000	0.000001	0.000000	0.999999	0.000000	
3500000	-14.349279	477	1	3	'0 0 0 Z 0 Z 0 0 0 0 Z 0 	44.174097	44.174097	44.174097	0.000000	44.174097	0.000000	44.174097	44.174097	44.174097	44.174097	0.000000	44.174097	0.000057	0.000013	0.998606	0.001324	
3550000	-14.595499	734	1	2	'0 Z Z 0 0 0 0 0 0 0 0 0 	34.402597	0.000000	0.000000	34.402597	34.402597	34.402597	34.402597	34.402597	34.402597	34.402597	34.402597	34.402597	0.000000	0.000008	0.999831	0.000161	
3600000	-14.279346	318	1	5	'Z 0 0 Z Z 0 0 0 0 Z Z 0 	0.000000	31.750918	31.750918	0.000000	0.000000	31.750918	31.750918	31.750918	31.750918	0.000000	0.000000	31.750918	0.000035	0.000000	0.998356	0.001609	
3650000	-12.299056	141	1	5	'0 Z 0 Z Z 0 0 0 0 Z 0 Z 	56.894260	0.000000	56.894260	0.000000	0.000000	56.894260	56.894260	56.894260	56.894260	0.000000	56.894260	0.000000	0.000000	0.000000	1.000000	0.000000	
3700000	-14.098149	711	1	5	'Z Z Z 0 Z 0 0 0 0 Z 0 0 	0.000000	0.000000	0.000000	37.341335	0.000000	37.341335	37.341335	37.341335	37.341335	0.000000	37.341335	37.341335	0.000000	0.000000	0.999414	0.000586	
3750000	-14.929893	919	1	5	'Z 0 0 Z Z Z 0 0 0 Z 0 0 	0.000000	24.455339	24.455339	0.000000	0.000000	0.000000	24.455339	24.455339	24.455339	0.000000	24.455339	24.455339	0.000015	0.000000	0.999774	0.000211	
3800000	-14.055527	861	1	3	'Z 0 0 0 0 0 0 0 0 Z Z 0 	0.000000	43.395750	43.395750	43.395750	43.395750	43.395750	43.395750	43.395750	43.395750	0.000000	0.000000	43.395750	0.000119	0.000032	0.997830	0.002019	
3850000	-14.604475	504	1	3	'0 Z 0 0 Z Z 0 0 0 0 0 0 	24.045222	0.000000	24.045222	24.045222	0.000000	0.000000	24.045222	24.045222	24.045222	24.045222	24.045222	24.045222	0.000000	0.000000	0.998436	0.001564	
3900000	-15.695650	91	1	6	'Z 0 Z Z 0 Z 0 0 0 Z 0 Z 	0.000000	17.931326	0.000000	0.000000	17.931326	0.000000	17.931326	17.931326	17.931326	0.000000	17.931326	0.000000	0.000003	0.000003	0.999994	0.000000	
3950000	-16.385337	354	1	4	'0 0 Z 0 0 Z 0 0 0 Z 0 Z 	14.080064	14.080064	0.000000	14.080064	14.080064	0.000000	14.080064	14.080064	14.080064	0.000000	14.080064	0.000000	0.000002	0.000002	0.999996	0.000000	
4000000	-14.427147	75	1	5	'0 0 Z Z 0 Z 0 0 0 Z Z 0 	34.111674	34.111674	0.000000	0.000000	34.111674	0.000000	34.111674	34.111674	34.111674	0.000000	0.000000	34.111674	0.000015	0.000015	0.998418	0.001552	
4050000	-14.406421	776	1	4	'0 Z Z 0 Z Z 0 0 0 0 0 0 	49.667353	0.000000	0.000000	49.667353	0.000000	0.000000	49.667353	49.667353	49.667353	49.667353	49.667353	49.667353	0.000000	0.000000	0.998332	0.001668	
4100000	-13.706977	905	1	4	'Z 0 Z Z 0 0 0 0 0 Z 0 0 	0.000000	56.872848	0.000000	0.000000	56.872848	56.872848	56.872848	56.872848	56.872848	0.000000	56.872848	56.872848	0.000010	0.000017	0.999641	0.000332	
4150000	-14.718597	504	1	6	'Z Z 0 Z 0 Z 0 0 0 Z Z 0 	0.000000	0.000000	22.484583	0.000000	22.484583	0.000000	22.484583	22.484583	22.484583	0.000000	0.000000	22.484583	0.000000	0.000010	0.998568	0.001421	
4200000	-14.234240	306	1	5	'Z Z Z Z 0 0 0 0 0 Z 0 0 	0.000000	0.000000	0.000000	0.000000	28.135245	28.135245	28.135245	28.135245	28.135245	0.000000	28.135245	28.135245	0.000000	0.000040	0.997872	0.002089	
4250000	-14.023704	263	1	4	'0 0 0 0 0 Z 0 0 0 Z Z Z 	24.096622	24.096622	24.096622	24.096622	24.096622	0.000000	24.096622	24.096622	24.096622	0.000000	0.000000	0.000000	0.000046	0.000003	0.999951	0.000000	
4300000	-15.722875	486	1	6	'0 0 Z Z Z Z 0 0 0 0 Z Z 	14.581353	14.581353	0.000000	0.000000	0.000000	0.000000	14.581353	14.581353	14.581353	14.581353	0.000000	0.000000	0.000001	0.000000	0.999999	0.000000	
4350000	-12.980165	1000	1	5	'Z Z 0 Z 0 0 0 0 0 Z 0 Z 	0.000000	0.000000	64.556094	0.000000	64.556094	64.556094	64.556094	64.556094	64.556094	0.000000	64.556094	0.000000	0.000000	0.000005	0.999995	0.000000	
4400000	-12.536020	406	1	5	'0 Z 0 0 0 Z 0 0 0 Z Z Z 	50.907347	0.000000	50.907347	50.907347	50.907347	0.000000	50.907347	50.907347	50.907347	0.000000	0.000000	0.000000	0.000000	0.000645	0.999355	0.000000	
4450000	-15.430181	461	1	5	'Z 0 Z 0 0 Z 0 0 0 Z Z 0 	0.000000	22.387284	0.000000	22.387284	22.387284	0.000000	22.387284	22.387284	22.387284	0.000000	0.000000	22.387284	0.000004	0.000004	0.998830	0.001162	
4500000	-14.335364	888	1	5	'Z Z 0 Z 0 0 0 0 0 Z 0 Z 	0.000000	0.000000	34.514576	0.000000	34.514576	34.514576	34.514576	34.514576	34.514576	0.000000	34.514576	0.000000	0.000000	0.000014	0.999986	0.000000	
4550000	-19.268536	402	1	6	'Z 0 Z Z 0 Z 0 0 0 0 Z Z 	0.000000	6.388921	0.000000	0.000000	6.388921	0.000000	6.388921	6.388921	6.388921	6.388921	0.000000	0.000000	0.000000	0.000000	0.999999	0.000000	
4600000	-14.000996	88	1	5	'0 Z Z 0 0 0 0 0 0 Z Z Z 	40.564536	0.000000	0.000000	40.564536	40.564536	40.564536	40.564536	40.564536	40.564536	0.000000	0.000000	0.000000	0.000000	0.000067	0.999933	0.000000	
4650000	-14.260923	920	1	5	'Z 0 0 Z 0 0 0 0 0 Z Z Z 	0.000000	29.187404	29.187404	0.000000	29.187404	29.187404	29.187404	29.187404	29.187404	0.000000	0.000000	0.000000	0.000029	0.000014	0.999957	0.000000	
4700000	-15.412986	736	1	4	'Z 0 0 Z Z 0 0 0 0 0 0 Z 	0.000000	15.406798	15.406798	0.000000	0.000000	15.406798	15.406798	15.406798	15.406798	15.406798	15.406798	0.000000	0.000012	0.000000	0.999988	0.000000	
4750000	-14.522175	686	1	5	'Z Z 0 Z 0 0 0 0 0 Z 0 Z 	0.000000	0.000000	30.666275	0.000000	30.666275	30.666275	30.666275	30.666275	30.666275	0.000000	30.666275	0.000000	0.000000	0.000031	0.999969	0.000000	
4800000	-14.897192	570	1	5	'Z Z Z 0 Z Z 0 0 0 0 0 0 	0.000000	0.000000	0.000000	22.824199	0.000000	0.000000	22.824199	22.824199	22.824199	22.824199	22.824199	22.824199	0.000000	0.000000	0.999551	0.000449	
4850000	-16.464550	36	1	3	'0 0 Z 0 0 Z 0 0 0 Z 0 0 	14.392266	14.392266	0.000000	14.392266	14.392266	0.000000	14.392266	14.392266	14.392266	0.000000	14.392266	14.392266	0.000001	0.000001	0.998710	0.001287	
4900000	-13.552030	108	1	7	'Z Z Z Z 0 Z 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	0.000000	51.031815	0.000000	51.031815	51.031815	51.031815	0.000000	0.000000	51.031815	0.000000	0.000000	0.999999	0.000001	
